respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.08999999999999997,0.26270000000000004
26708,0.020000000000000018,0.033399999999999985
26709,0.38,0.5775
26710,0.51,0.8795
26711,0.35,0.5016
26712,0.52,0.9351
26713,0.41000000000000003,0.5557
26714,0.17000000000000004,0.2138
26715,0.07999999999999996,0.1531
26716,0.24,0.8904
26717,0.040000000000000036,0.27580000000000005
26718,0.30000000000000004,0.49239999999999995
26719,0.13,0.9205
26720,0.06999999999999995,0.18289999999999995
26721,0.43000000000000005,0.2835
26722,0.06999999999999995,0.08709999999999996
26723,0.51,0.8536
26724,0.12,0.7044
26725,0.050000000000000044,0.10099999999999998
26726,0.18999999999999995,0.038900000000000046
26727,0.47,0.863
26728,0.29000000000000004,0.5483
26729,0.32999999999999996,0.6552
26730,0.13,0.19789999999999996
26731,0.07999999999999996,0.35640000000000005
26732,0.24,0.07020000000000004
26733,0.82,0.9542
26734,0.65,0.35440000000000005
26735,0.08999999999999997,0.4094
26736,0.10999999999999999,0.18700000000000006
26737,0.06000000000000005,0.14170000000000005
26738,0.7,0.8284
26739,0.12,0.29869999999999997
26740,0.18999999999999995,0.14690000000000003
26741,0.16000000000000003,0.9129
26742,0.06000000000000005,0.42910000000000004
26743,0.08999999999999997,0.5478
26744,0.13,0.5988
26745,0.14,0.9299
26746,0.19999999999999996,0.4001
26747,0.09999999999999998,0.17689999999999995
26748,0.12,0.061000000000000054
26749,0.14,0.6963
26750,0.30000000000000004,0.9187
26751,0.45999999999999996,0.758
26752,0.14,0.019100000000000006
26753,0.29000000000000004,0.6832
26754,0.29000000000000004,0.6648
26755,0.12,0.37450000000000006
26756,0.040000000000000036,0.039100000000000024
26757,0.30000000000000004,0.4767
26758,0.55,0.8931
26759,0.030000000000000027,0.21609999999999996
26760,0.09999999999999998,0.022800000000000042
26761,0.32999999999999996,0.6157
26762,0.16000000000000003,0.7953
26763,0.76,0.9621
26764,0.71,0.9401
26765,0.15000000000000002,0.6841
26766,0.09999999999999998,0.15949999999999998
26767,0.65,0.808
26768,0.08999999999999997,0.37549999999999994
26769,0.08999999999999997,0.1481
26770,0.13,0.5197
26771,0.06000000000000005,0.20840000000000003
26772,0.08999999999999997,0.38859999999999995
26773,0.13,0.4295
26774,0.19999999999999996,0.5357
26775,0.020000000000000018,0.45230000000000004
26776,0.25,0.34930000000000005
26777,0.13,0.9307
26778,0.14,0.07850000000000001
26779,0.20999999999999996,0.5196
26780,0.20999999999999996,0.9532
26781,0.18999999999999995,0.45530000000000004
26782,0.08999999999999997,0.2976
26783,0.030000000000000027,0.2721
26784,0.20999999999999996,0.9297
26785,0.25,0.5886
26786,0.07999999999999996,0.23960000000000004
26787,0.14,0.49829999999999997
26788,0.10999999999999999,0.9031
26789,0.040000000000000036,0.28180000000000005
26790,0.020000000000000018,0.2985
26791,0.10999999999999999,0.1059
26792,0.20999999999999996,0.7397
26793,0.12,0.898
26794,0.4,0.8922
26795,0.18999999999999995,0.966
26796,0.0,0.07069999999999999
26797,0.26,0.6959
26798,0.29000000000000004,0.17069999999999996
26799,0.24,0.2714
26800,0.15000000000000002,0.921
26801,0.13,0.3286
26802,0.050000000000000044,0.17900000000000005
26803,0.13,0.1572
26804,0.10999999999999999,0.10960000000000003
26805,0.14,0.19140000000000001
26806,0.13,0.9069
26807,0.53,0.9369
26808,0.13,0.6557
26809,0.35,0.12070000000000003
26810,0.07999999999999996,0.07450000000000001
26811,0.13,0.05469999999999997
26812,0.20999999999999996,0.6675
26813,0.43000000000000005,0.352
26814,0.06999999999999995,0.47819999999999996
26815,0.040000000000000036,0.08620000000000005
26816,0.10999999999999999,0.20640000000000003
26817,0.10999999999999999,0.8008
26818,0.16000000000000003,0.2732
26819,0.25,0.473
26820,0.18999999999999995,0.27490000000000003
26821,0.07999999999999996,0.44830000000000003
26822,0.21999999999999997,0.6462
26823,0.42000000000000004,0.5861
26824,0.08999999999999997,0.6814
26825,0.35,0.7389
26826,0.16000000000000003,0.7473
26827,0.040000000000000036,0.06989999999999996
26828,0.13,0.7326
26829,0.55,0.9262
26830,0.07999999999999996,0.7978
26831,0.26,0.8623
26832,0.07999999999999996,0.8498
26833,0.07999999999999996,0.278
26834,0.28,0.40859999999999996
26835,0.49,0.8791
26836,0.32999999999999996,0.6671
26837,0.16000000000000003,0.012900000000000023
26838,0.16000000000000003,0.4448
26839,0.17000000000000004,0.5976
26840,0.10999999999999999,0.09609999999999996
26841,0.35,0.7618
26842,0.07999999999999996,0.19930000000000003
26843,0.07999999999999996,0.01629999999999998
26844,0.06999999999999995,0.4979
26845,0.12,0.6521
26846,0.08999999999999997,0.7551
26847,0.33999999999999997,0.07630000000000003
26848,0.16000000000000003,0.6686
26849,0.28,0.5509
26850,0.67,0.5244
26851,0.020000000000000018,0.06299999999999994
26852,0.06000000000000005,0.10260000000000002
26853,0.27,0.5375
26854,0.10999999999999999,0.06999999999999995
26855,0.28,0.8399
26856,0.18000000000000005,0.026800000000000046
26857,0.33999999999999997,0.21999999999999997
26858,0.24,0.6498
26859,0.040000000000000036,0.11660000000000004
26860,0.17000000000000004,0.06420000000000003
26861,0.050000000000000044,0.07469999999999999
26862,0.040000000000000036,0.278
26863,0.17000000000000004,0.401
26864,0.30000000000000004,0.3718
26865,0.040000000000000036,0.0383
26866,0.13,0.6879
26867,0.15000000000000002,0.16869999999999996
26868,0.51,0.9257
26869,0.050000000000000044,0.3046
26870,0.6,0.8594
26871,0.030000000000000027,0.04490000000000005
26872,0.10999999999999999,0.2239
26873,0.20999999999999996,0.8444
26874,0.15000000000000002,0.08609999999999995
26875,0.44999999999999996,0.9183
26876,0.10999999999999999,0.03939999999999999
26877,0.13,0.11240000000000006
26878,0.10999999999999999,0.12380000000000002
26879,0.040000000000000036,0.031000000000000028
26880,0.18000000000000005,0.0625
26881,0.09999999999999998,0.07569999999999999
26882,0.010000000000000009,0.07940000000000003
26883,0.21999999999999997,0.259
26884,0.18000000000000005,0.3276
26885,0.22999999999999998,0.8056
26886,0.18999999999999995,0.7651
26887,0.45999999999999996,0.8958
26888,0.86,0.9501
26889,0.06000000000000005,0.1492
26890,0.15000000000000002,0.3264
26891,0.61,0.5161
26892,0.25,0.7936
26893,0.030000000000000027,0.15759999999999996
26894,0.14,0.384
26895,0.13,0.8538
26896,0.030000000000000027,0.0857
26897,0.14,0.3932
26898,0.32999999999999996,0.7464
26899,0.030000000000000027,0.06889999999999996
26900,0.09999999999999998,0.33840000000000003
26901,0.10999999999999999,0.26039999999999996
26902,0.17000000000000004,0.9315
26903,0.08999999999999997,0.031299999999999994
26904,0.12,0.36040000000000005
26905,0.37,0.7772
26906,0.06999999999999995,0.34209999999999996
26907,0.010000000000000009,0.5489
26908,0.22999999999999998,0.8081
26909,0.13,0.26559999999999995
26910,0.14,0.27659999999999996
26911,0.020000000000000018,0.05700000000000005
26912,0.48,0.9419
26913,0.69,0.8656
26914,0.010000000000000009,0.15759999999999996
26915,0.17000000000000004,0.6955
26916,0.36,0.2861
26917,0.09999999999999998,0.019499999999999962
26918,0.79,0.9329
26919,0.14,0.7074
26920,0.030000000000000027,0.12219999999999998
26921,0.16000000000000003,0.8581
26922,0.12,0.6659
26923,0.14,0.5525
26924,0.75,0.9077
26925,0.07999999999999996,0.5972
26926,0.38,0.38780000000000003
26927,0.48,0.6015
26928,0.15000000000000002,0.5654
26929,0.15000000000000002,0.1814
26930,0.54,0.8663
26931,0.16000000000000003,0.3609
26932,0.14,0.8794
26933,0.06999999999999995,0.7271
26934,0.38,0.6896
26935,0.29000000000000004,0.5064
26936,0.26,0.1866
26937,0.19999999999999996,0.7157
26938,0.06999999999999995,0.0635
26939,0.050000000000000044,0.04090000000000005
26940,0.13,0.12209999999999999
26941,0.19999999999999996,0.42200000000000004
26942,0.35,0.7937
26943,0.20999999999999996,0.6887
26944,0.16000000000000003,0.15239999999999998
26945,0.09999999999999998,0.5727
26946,0.13,0.6816
26947,0.30000000000000004,0.7239
26948,0.020000000000000018,0.06310000000000004
26949,0.06999999999999995,0.032299999999999995
26950,0.10999999999999999,0.43500000000000005
26951,0.10999999999999999,0.35619999999999996
26952,0.7,0.9525
26953,0.44999999999999996,0.9707
26954,0.010000000000000009,0.21950000000000003
26955,0.08999999999999997,0.6092
26956,0.24,0.4196
26957,0.09999999999999998,0.8988
26958,0.17000000000000004,0.8491
26959,0.040000000000000036,0.1997
26960,0.06000000000000005,0.07150000000000001
26961,0.18000000000000005,0.5646
26962,0.16000000000000003,0.9064
26963,0.25,0.2723
26964,0.040000000000000036,0.1421
26965,0.54,0.9466
26966,0.10999999999999999,0.025499999999999967
26967,0.19999999999999996,0.5861
26968,0.09999999999999998,0.81
26969,0.19999999999999996,0.17069999999999996
